"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04670","Leukocyte transendothelial migration",80,0.37030874007476,1.61719648673166,0.00538623373920474,0.0343499434688906,0.0249253716233308,3067,"tags=52%, list=28%, signal=38%","MMP9/MYL9/VAV3/MAPK14/ESAM/CXCR4/ITGB2/RAC1/GNAI3/PIK3R2/ICAM1/F11R/CTNNA1/JAM3/PLCG2/CYBA/CLDN5/PECAM1/PTK2B/ROCK1/CLDN23/CDH5/VCL/ACTN4/ACTN1/NCF1/RAP1A/CD99L2/NCF4/SIPA1/CYBB/VASP/ITGAM/CLDN9/GNAI2/BCAR1/RHOA/NCF2/MYL5/ARHGAP35/CTNNB1/PXN"
"hsa04066","HIF-1 signaling pathway",85,0.366478490948759,1.62743194805425,0.0056527465654473,0.035382006280022,0.0256742680263006,2126,"tags=36%, list=19%, signal=30%","EGF/VEGFA/HK2/IGF1R/MKNK1/EPAS1/MAPK1/ALDOA/HK3/SLC2A1/INSR/IFNGR1/HK1/PIK3R2/EIF4E/EGLN1/PLCG2/TLR4/IFNGR2/CAMK2G/CDKN1A/LTBR/MAP2K1/MAPK3/GAPDH/PFKFB3/EIF4EBP1/TIMP1/CREBBP/ENO1/ARNT"
"hsa00500","Starch and sucrose metabolism",20,0.562817643529803,1.77807734591404,0.00618566520675244,0.0380137243614968,0.0275839233143219,2484,"tags=65%, list=23%, signal=50%","HK2/GBE1/HK3/MGAM/HK1/GYG1/PYGL/PGM1/PGM2/PYGB/G6PC3/PYGM/GYS1"
"hsa03082","ATP-dependent chromatin remodeling",81,-0.342860308726404,-1.53238886601511,0.00744367778613946,0.0441397033634234,0.0320291214066573,3588,"tags=44%, list=33%, signal=30%","ACTL6A/SMARCD1/INO80C/SMARCB1/RSF1/EP400/INO80E/PHF6/MEAF6/EPC1/HDAC1/ARID1B/ACTR5/NFRKB/CHD4/SMARCE1/BRD9/SMARCA4/RUVBL1/ACTR8/BRD7/ARID2/RUVBL2/SMARCC1/PHF10/BAZ1B/INO80D/DPF3/PBRM1/SMARCC2/CHD3/RBBP4/SS18/ACTR6/BCL7A/MORF4L2"
"hsa04062","Chemokine signaling pathway",134,0.314652054646647,1.49889502727297,0.00732354087411398,0.0441397033634234,0.0320291214066573,3247,"tags=49%, list=29%, signal=35%","PF4V1/CXCL5/GNG11/FOXO3/VAV3/JAK2/SOS2/CXCR4/MAPK1/RAC1/CXCL1/GNAI3/STAT2/GNB4/PRKACA/BRAF/GSK3A/PIK3R2/CXCL16/PLCG2/STAT1/NFKBIA/CCR2/PRKCD/WAS/IKBKG/PF4/MAP2K1/PTK2B/PARD3/FGR/MAPK3/ROCK1/PREX1/GNAQ/PAK1/PPBP/CXCR1/ADCY4/NCF1/RAP1A/CCR1/GRB2/CHUK/NFKBIB/HCK/GRK6/LYN/GNAI2/GNB2/ADCY7/BCAR1/PIK3R5/RHOA/ADCY3/GNB1/GSK3B/ARRB1/SHC1/PXN/GNG5/AKT1/CRKL/CXCR2/GRK1"
"hsa04150","mTOR signaling pathway",113,0.333935225967412,1.55768076492021,0.0076427660787222,0.0445388781828983,0.0323187748882445,1665,"tags=26%, list=15%, signal=22%","GRB10/RRAGD/NPRL3/IGF1R/SLC7A5/IRS1/SOS2/FNIP2/ATP6V1C1/MAPK1/INSR/BRAF/TNF/FNIP1/PIK3R2/EIF4E/DDIT4/LPIN2/CLIP1/PTEN/RRAGC/MAP2K1/PRKAA1/MAPKAP1/MAPK3/DVL3/ULK1/AKT1S1/EIF4EBP1"
"hsa00770","Pantothenate and CoA biosynthesis",16,0.577827491115301,1.74369334333799,0.00824457982642028,0.0465444124818358,0.0337740520344682,906,"tags=38%, list=8%, signal=34%","VNN1/CSAD/UPB1/DPYD/BCAT1/ALDH2"
"hsa05164","Influenza A",130,0.315596958846948,1.50290707233052,0.00826232174233772,0.0465444124818358,0.0337740520344682,2018,"tags=35%, list=18%, signal=29%","RSAD2/HLA-DRB4/HLA-DQA1/TNFSF10/OAS3/FAS/HLA-DPA1/NLRP3/JAK2/MAPK1/STAT2/IFNGR1/PML/IFIH1/TNF/PIK3R2/ICAM1/IL18/TLR4/CASP9/STAT1/NFKBIA/NLRX1/TLR7/IFNGR2/EIF2AK2/IKBKG/NUP98/CCND3/MAP2K1/RAB11A/PYCARD/MX1/MAPK3/MX2/RNASEL/KPNA2/PRSS3/RAB11B/CASP1/DNAJC3/IRF7/MYD88/FADD/CREBBP/APAF1"
"hsa05165","Human papillomavirus infection",221,0.277058516470283,1.43196725947874,0.00856020792964025,0.0474319718068591,0.034418092279658,1665,"tags=23%, list=15%, signal=20%","THBS1/ITGB3/EGF/ITGA2B/ITGB5/MAML3/VEGFA/ITGA9/FAS/OASL/ATP6AP1/ATP6V0C/SOS2/ATP6V1C1/MAPK1/LAMC1/STAT2/MAML1/JAG1/PRKACA/ISG15/TNF/APC/PIK3R2/THBS2/MDM2/VWF/STAT1/EIF2AK2/IKBKG/ATP6V0D1/PPP2R2D/CCND3/PTEN/CDKN1A/HEY1/NOTCH2/MAP2K1/PARD3/MX1/MAPK3/MX2/TCF7L2/HLA-F/PPP2R5B/PKM/COL9A3/HES1/NOTCH1/DVL3/EIF4EBP1"
"hsa00410","beta-Alanine metabolism",22,0.544059841610905,1.76044678131158,0.00880860256491292,0.0480210914022672,0.0348455755114552,906,"tags=32%, list=8%, signal=29%","CSAD/ABAT/SMOX/ALDH3B1/UPB1/DPYD/ALDH2"
