"Feature","Gain","Cover","Frequency","Gene Symbol","Gene Title","ENTREZ_GENE_ID","logFC","P.Value","adj.P.Val"
"214474_at",0.000337916564364714,0.000425765440116794,0.0019047619047619,"PRKAB2","protein kinase, AMP-activated, beta 2 non-catalytic subunit","5565",-0.213721654961993,0.000167551024349009,0.0408024481007032
"213801_x_at",0.00033764883221777,0.0009329480326324,0.0019047619047619,"RPSA /// RPSAP19 /// RPSAP58 /// RPSAP9 /// SNORA6 /// SNORA62","ribosomal protein SA /// ribosomal protein SA pseudogene 19 /// ribosomal protein SA pseudogene 58 /// ribosomal protein SA pseudogene 9 /// small nucleolar RNA, H/ACA box 6 /// small nucleolar RNA, H/ACA box 62","3921 /// 6044 /// 388524 /// 574040 /// 653162 /// 730029",-0.139838010668003,4.59207133479199e-05,0.0257693121467378
"211584_s_at",0.000319940559442925,0.00158336601927995,0.00571428571428571,"NPAT","nuclear protein, ataxia-telangiectasia locus","4863",-0.244849995115048,0.000238519335675135,0.0472972666516238
"200089_s_at",0.0003115352007952,0.000882128779139028,0.0019047619047619,"RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C","ribosomal protein L4 /// small nucleolar RNA, C/D box 16 /// small nucleolar RNA, C/D box 18A /// small nucleolar RNA, C/D box 18B /// small nucleolar RNA, C/D box 18C","6124 /// 595097 /// 595098 /// 595099 /// 595100",-0.108068033188569,7.65885674834775e-05,0.0327635123065726
"239086_at",0.000303365131668196,0.000601640096758034,0.0019047619047619,"IDNK","idnK, gluconokinase homolog (E. coli)","414328",-0.228146277857899,2.86926008306394e-06,0.00745250999383846
"241435_at",0.000287415127619493,0.00045446875515166,0.0019047619047619,"","","",-0.19099282103512,0.000328955446207244,0.0539345686066497
"230097_at",0.00027665390492445,0.000690924740713702,0.0019047619047619,"GART","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase","2618",-0.24532585476048,0.000214251204161134,0.0468677424503648
"229295_at",0.000268492635010292,0.000542260893852779,0.0019047619047619,"IL17RA","interleukin 17 receptor A","23765",0.160886568601508,9.75279075302274e-05,0.0367297308903884
"1555355_a_at",0.000252164121732604,0.000556073747432637,0.0019047619047619,"ETS1","v-ets avian erythroblastosis virus E26 oncogene homolog 1","2113",-0.155998500563482,0.000420872600838283,0.0577492754987798
"1556375_at",0.000216867402861907,0.000772296684954664,0.0019047619047619,"","","",-0.14785329143205,0.000219879471754082,0.0468677424503648
"230296_at",0.000191158678306859,0.0013773173146764,0.0019047619047619,"C16orf52 /// LOC101930115 /// VWA3A","chromosome 16 open reading frame 52 /// von Willebrand factor A domain-containing protein 3A-like /// von Willebrand factor A domain containing 3A","146177 /// 730094 /// 101930115",-0.120268503557758,0.000356052536439974,0.0539345686066497
"213836_s_at",9.20286063861834e-05,0.00141679098405316,0.0019047619047619,"WIPI1","WD repeat domain, phosphoinositide interacting 1","55062",0.258887083094165,8.36700013002946e-05,0.0340545413641849
"219870_at",7.64076785902381e-05,0.000417576549870637,0.0019047619047619,"ATF7IP2","activating transcription factor 7 interacting protein 2","80063",-0.190847938994936,8.44087999482221e-05,0.0340545413641849
"201777_s_at",6.94295808813718e-05,0.000424261632822783,0.0019047619047619,"EFCAB14","EF-hand calcium binding domain 14","9813",-0.150432250104635,0.000174130305255471,0.041288739310181
"235023_at",1.4084463617992e-05,0.000674302963378102,0.0019047619047619,"VPS13C","vacuolar protein sorting 13 homolog C (S. cerevisiae)","54832",-0.135581118776707,0.000154769074106018,0.0406171149724249
"214470_at",1.06916874520692e-05,0.000618525196935134,0.0019047619047619,"KLRB1","killer cell lectin-like receptor subfamily B, member 1","3820",-0.257490281880858,0.00024999666508041,0.0482238133171297
