"Feature","Gain","Cover","Frequency","Gene Symbol","Gene Title","ENTREZ_GENE_ID","logFC","P.Value","adj.P.Val"
"209409_at",0.00214349325683475,0.00175276822787599,0.00380952380952381,"GRB10","growth factor receptor-bound protein 10","2887",0.347630776315338,5.88481436412876e-06,0.00960865696639987
"224741_x_at",0.00204565759920046,0.000788310353855292,0.0019047619047619,"GAS5 /// SNORD44 /// SNORD47 /// SNORD74 /// SNORD76 /// SNORD77 /// SNORD79 /// SNORD80 /// SNORD81","growth arrest-specific 5 (non-protein coding) /// small nucleolar RNA, C/D box 44 /// small nucleolar RNA, C/D box 47 /// small nucleolar RNA, C/D box 74 /// small nucleolar RNA, C/D box 76 /// small nucleolar RNA, C/D box 77 /// small nucleolar RNA, C/D box 79 /// small nucleolar RNA, C/D box 80 /// small nucleolar RNA, C/D box 81","26769 /// 26770 /// 26774 /// 26802 /// 26806 /// 60674 /// 619498 /// 692196 /// 692197",-0.240051422706287,2.03105986455421e-05,0.0178987091029274
"226865_at",0.00191903034482932,0.00152212393692651,0.00380952380952381,"PLXDC2","plexin domain containing 2","84898",0.233407538404774,0.000119951154831464,0.0375732051169894
"219442_at",0.00188584042935942,0.00116319024496585,0.0019047619047619,"CLUHP3","clustered mitochondria (cluA/CLU1) homolog pseudogene 3","100132341",-0.185558837554992,0.000226841952992667,0.0468677424503648
"217374_x_at",0.00185636521247663,0.00330051687278502,0.00380952380952381,"","","",-0.226415513587225,0.000366838233707282,0.0541858158215384
"200093_s_at",0.00184101380528552,0.00133796517891879,0.0019047619047619,"HINT1","histidine triad nucleotide binding protein 1","3094",-0.206535843200344,0.000145403288213038,0.0397009725624912
"236685_at",0.00182319575696505,0.00258921328282958,0.00761904761904762,"","","",-0.140533357076126,0.000221517641146147,0.0468677424503648
"226991_at",0.00179455181531205,0.00169933825219338,0.0019047619047619,"NFATC2","nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2","4773",-0.166720762029982,3.58324934217194e-05,0.0225253053414534
"1553118_at",0.00177944521223767,0.00153017529456259,0.0019047619047619,"THEM4","thioesterase superfamily member 4","117145",-0.293892249256932,0.000145106362896241,0.0397009725624912
"236462_at",0.00162994844598961,0.00231375625863193,0.0019047619047619,"","","",-0.236555518241142,0.000165805329502085,0.0408024481007032
"1555691_a_at",0.00160376799778007,0.00186310294479367,0.00380952380952381,"KLRC4-KLRK1 /// KLRK1","KLRC4-KLRK1 readthrough /// killer cell lectin-like receptor subfamily K, member 1","22914 /// 100528032",-0.335874245449733,0.000318575037353511,0.0539345686066497
"204620_s_at",0.00141140647423107,0.00160939094666854,0.0019047619047619,"VCAN","versican","1462",0.152824520374505,0.000105939317495574,0.036821947517259
"225496_s_at",0.00134332689290747,0.00206834387159842,0.00380952380952381,"SYTL2","synaptotagmin-like 2","54843",-0.349447662608844,0.000211128187518962,0.0468677424503648
"212705_x_at",0.0012729140178752,0.000808019642880394,0.0019047619047619,"PNPLA2","patatin-like phospholipase domain containing 2","57104",0.158090807442812,0.000302342598628274,0.0523886075866722
"242794_at",0.00122787363731364,0.0012929118247612,0.0019047619047619,"MAML3","mastermind-like 3 (Drosophila)","55534",0.283715154855118,4.12969297160382e-05,0.0242673327642224
