"SYMBOL","ENTREZID"
"GZMK","3003"
"PFKFB2","5208"
"GRB10","2887"
"IL7R","3575"
"PYHIN1","149628"
"TDRD9","122402"
"HP","3240"
"LCN2","3934"
"PLEKHA1","59338"
"KLF12","11278"
"DCAF16","54876"
"S100A12","6283"
"ARG1","383"
"APCDD1","147495"
"NRG1","3084"
"SYTL2","54843"
"TPST1","8460"
"OLFM4","10562"
